Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-06-27,2.559813579,2.641194935,2.552415274,2.626398325,6396800,0,0
1990-06-28,2.63379835,2.66339159,2.63379835,2.66339159,5472800,0,0
1990-06-29,2.663389851,2.685584766,2.61900002,2.626398325,5683200,0,0
1990-07-02,2.626399396,2.641196012,2.61160278,2.641196012,3917600,0,0
1990-07-03,2.641195181,2.655991793,2.626398569,2.655991793,3346400,0,0
1990-07-05,2.641194152,2.641194152,2.582007728,2.618999243,6097600,0,0
1990-07-06,2.61900091,2.678187372,2.596805987,2.648594141,6231200,0,0
1990-07-09,2.64859324,2.678186461,2.61900002,2.626398325,5697600,0,0
1990-07-10,2.626400062,2.633798372,2.596806821,2.604205132,3634400,0,0
1990-07-11,2.604204178,2.641195714,2.604204178,2.633797407,5312800,0,0
1990-07-12,2.63379835,2.70778145,2.60420511,2.66339159,7514400,0,0
1990-07-13,2.663390099,2.700381628,2.633796875,2.655991793,8222400,0,0
1990-07-16,2.663389395,2.700380914,2.663389395,2.685584307,7784000,0,0
1990-07-17,2.707780596,2.803958595,2.707780596,2.796560287,12912000,0,0
1990-07-18,2.796560347,2.863145117,2.774365423,2.803958654,13242400,0,0
1990-07-19,2.803958357,2.826153278,2.737373594,2.826153278,7619200,0,0
1990-07-20,2.826153578,2.855746809,2.774365423,2.803958654,11068800,0,0
1990-07-23,2.789162653,2.789162653,2.663391392,2.729976177,9453600,0,0
1990-07-24,2.729976598,2.75956984,2.670790113,2.722578287,6985600,0,0
1990-07-25,2.722576975,2.737373589,2.700382054,2.707780361,5044000,0,0
1990-07-26,2.707781666,2.729976598,2.670790113,2.722578287,6570400,0,0
1990-07-27,2.722576674,2.729974981,2.69298345,2.700381756,6946400,0,0
1990-07-30,2.700382054,2.715178668,2.663390519,2.707780361,6835200,0,0
1990-07-31,2.707779218,2.707779218,2.663389395,2.685584307,5208000,0,0
1990-08-01,2.685584307,2.700380914,2.655991091,2.685584307,5400000,0,0
1990-08-02,2.648593115,2.648593115,2.604203286,2.611601591,7282400,0,0
1990-08-03,2.611602304,2.619000611,2.456237861,2.582009077,15926400,0,0
1990-08-06,2.515425955,2.515425955,2.411849592,2.456239462,10755200,0,0
1990-08-07,2.471034352,2.552415723,2.471034352,2.508025885,10503200,0,0
1990-08-08,2.515425411,2.626400062,2.515425411,2.604205132,8628000,0,0
1990-08-09,2.604204295,2.655992449,2.582009372,2.648594141,6508000,0,0
1990-08-10,2.648595119,2.648595119,2.574612015,2.589408636,5182400,0,0
1990-08-13,2.589407563,2.633797407,2.559814334,2.633797407,6158400,0,0
1990-08-14,2.633797407,2.655992329,2.604204178,2.633797407,6545600,0,0
1990-08-15,2.633797704,2.663390937,2.633797704,2.641196012,7336800,0,0
1990-08-16,2.641196023,2.641196023,2.552416325,2.552416325,4498400,0,0
1990-08-17,2.530219891,2.530219891,2.463635157,2.485830069,16098400,0,0
1990-08-20,2.493229449,2.530220984,2.493229449,2.500627756,4609600,0,0
1990-08-21,2.500627571,2.508025877,2.382254668,2.448839426,11303200,0,0
1990-08-22,2.448839474,2.478432701,2.323068263,2.337864876,11397600,0,0
1990-08-23,2.330467867,2.330467867,2.204696586,2.226891518,11197600,0,0
1990-08-24,2.226889584,2.330465844,2.226889584,2.308270931,10428000,0,0
1990-08-27,2.434042933,2.478432773,2.434042933,2.46363616,10866400,0,0
1990-08-28,2.463637171,2.50802703,2.456238861,2.47103548,7428800,0,0
1990-08-29,2.47103453,2.56721252,2.47103453,2.530220985,7240000,0,0
1990-08-30,2.530221228,2.545017844,2.434043228,2.441441536,4625600,0,0
1990-08-31,2.4414413,2.500627756,2.411848072,2.500627756,4710400,0,0
1990-09-04,2.500627758,2.530220985,2.441441302,2.530220985,3635200,0,0
1990-09-05,2.530222783,2.530222783,2.48583291,2.515426159,4678400,0,0
1990-09-06,2.500627692,2.500627692,2.434042931,2.434042931,4591200,0,0
1990-09-07,2.434042469,2.522822134,2.419245859,2.493228912,6634400,0,0
1990-09-10,2.505124142,2.557159362,2.505124142,2.512557745,6900000,0.025,0
1990-09-11,2.512555246,2.519988841,2.475387269,2.497688055,4194400,0,0
1990-09-12,2.497689776,2.527424178,2.475388975,2.505123377,3696000,0,0
1990-09-13,2.505123003,2.512556602,2.438220608,2.453087807,2884000,0,0
1990-09-14,2.430788707,2.430788707,2.393620684,2.423355103,5895200,0,0
1990-09-17,2.423353566,2.445654366,2.393619166,2.408486366,5327200,0,0
1990-09-18,2.40848621,2.460521406,2.363884614,2.453087807,9506400,0,0
1990-09-19,2.453087883,2.467955082,2.363884687,2.363884687,6417600,0,0
1990-09-20,2.356451384,2.356451384,2.259814576,2.30441618,8954400,0,0
1990-09-21,2.30441728,2.3415853,2.244948447,2.326718092,13014400,0,0
1990-09-24,2.319283706,2.319283706,2.237514088,2.282115698,6928800,0,0
1990-09-25,2.282116467,2.334151696,2.252382051,2.326718092,6331200,0,0
1990-09-26,2.326716981,2.349017783,2.267248177,2.30441618,5137600,0,0
1990-09-27,2.304415044,2.356450222,2.222645477,2.31184864,7120000,0,0
1990-09-28,2.311850558,2.349018574,2.230080924,2.349018574,8072000,0,0
1990-10-01,2.371318138,2.482822126,2.371318138,2.475388527,12339200,0,0
1990-10-02,2.475388605,2.5348574,2.453087807,2.453087807,8141600,0,0
1990-10-03,2.453087992,2.512556792,2.438220792,2.445654392,6508000,0,0
1990-10-04,2.445655122,2.490256736,2.393619907,2.482823133,5352800,0,0
1990-10-05,2.482823334,2.557159362,2.415920909,2.512557745,7832800,0,0
1990-10-08,2.527423965,2.557158364,2.527423965,2.542291164,4568000,0,0
1990-10-09,2.534857785,2.534857785,2.438220978,2.438220978,6068000,0,0
1990-10-10,2.438221387,2.490256599,2.37131897,2.393619776,6849600,0,0
1990-10-11,2.393618401,2.438219986,2.363884011,2.401051998,7114400,0,0
1990-10-12,2.415919733,2.497689324,2.415919733,2.475388527,8716800,0,0
1990-10-15,2.475389731,2.534858553,2.3936201,2.512557745,7488000,0,0
1990-10-16,2.512557542,2.557159155,2.475389531,2.482823133,6931200,0,0
1990-10-17,2.482822126,2.527423721,2.423353333,2.475388527,7258400,0,0
1990-10-18,2.50512458,2.586894225,2.50512458,2.579460621,14043200,0,0
1990-10-19,2.62406084,2.720697641,2.62406084,2.720697641,18340800,0,0
1990-10-22,2.713264257,2.713264257,2.653795451,2.683529854,13159200,0,0
1990-10-23,2.683529854,2.713264257,2.653795451,2.683529854,7696000,0,0
1990-10-24,2.68353006,2.720698067,2.661229256,2.713264465,7243200,0,0
1990-10-25,2.713264687,2.742999095,2.661229474,2.676096678,7098400,0,0
1990-10-26,2.676094912,2.676094912,2.616626136,2.63149333,6645600,0,0
1990-10-29,2.63149648,2.653797297,2.572027633,2.601762056,6715200,0,0
1990-10-30,2.601759447,2.668661833,2.594325849,2.668661833,7747200,0,0
1990-10-31,2.668661833,2.698396226,2.624060242,2.668661833,6865600,0,0
1990-11-01,2.668662652,2.683529854,2.631494649,2.683529854,5812800,0,0
1990-11-02,2.683529854,2.705830656,2.668662652,2.683529854,5260800,0,0
1990-11-05,2.683528955,2.720696946,2.653794562,2.690962553,4985600,0,0
1990-11-06,2.690963485,2.690963485,2.64636188,2.653795481,4175200,0,0
1990-11-07,2.646360227,2.646360227,2.616625843,2.624059439,6584000,0,0
1990-11-08,2.624062442,2.661230465,2.601761628,2.609195232,5378400,0,0
1990-11-09,2.609193045,2.668661833,2.58689225,2.668661833,6849600,0,0
1990-11-12,2.668660869,2.698395252,2.646360082,2.698395252,7772800,0,0
1990-11-13,2.690963882,2.690963882,2.64636227,2.676096678,5712000,0,0
1990-11-14,2.676094465,2.728129635,2.676094465,2.698395252,8936800,0,0
1990-11-15,2.698396151,2.705829749,2.668661758,2.690962553,5086400,0,0
1990-11-16,2.690963241,2.720697641,2.690963241,2.720697641,10712000,0,0
1990-11-19,2.735565676,2.795034495,2.735565676,2.772733688,8644000,0,0
1990-11-20,2.772733347,2.795034152,2.750432543,2.757866144,5687200,0,0
1990-11-21,2.757865936,2.780166739,2.698397129,2.728131533,8036000,0,0
1990-11-23,2.728131241,2.765299242,2.690963241,2.720697641,2296000,0,0
1990-11-26,2.695311866,2.695311866,2.672913153,2.680379391,6999200,0.025,0
1990-11-27,2.680380617,2.75504303,2.643049411,2.75504303,9194400,0,0
1990-11-28,2.755042408,2.762508648,2.710244971,2.71771121,4789600,0,0
1990-11-29,2.717710985,2.740109702,2.650514834,2.672913551,6990400,0,0
1990-11-30,2.67291491,2.784908551,2.657982424,2.762509823,12562400,0,0
1990-12-03,2.762510114,2.807307575,2.75504387,2.792375088,8604800,0,0
1990-12-04,2.792373734,2.807306213,2.725177574,2.799839973,5730400,0,0
1990-12-05,2.799839644,2.844637078,2.777440927,2.837170839,6846400,0,0
1990-12-06,2.837170045,2.896899941,2.799838861,2.807305098,8452000,0,0
1990-12-07,2.807306213,2.814772453,2.762508774,2.799839973,7092800,0,0
1990-12-10,2.799841074,2.829706045,2.777442345,2.81477356,4337600,0,0
1990-12-11,2.814772453,2.822238693,2.784907494,2.799839973,3506400,0,0
1990-12-12,2.799840094,2.889434977,2.792373854,2.881968737,8892000,0,0
1990-12-13,2.881967943,2.919299134,2.859569229,2.874501705,4800800,0,0
1990-12-14,2.867035796,2.867035796,2.822238361,2.837170839,5280800,0,0
1990-12-17,2.837172252,2.874503466,2.799841038,2.85957098,4386400,0,0
1990-12-18,2.867036555,2.926766484,2.867036555,2.911834002,6528000,0,0
1990-12-19,2.911834679,2.926767165,2.844638495,2.85957098,7000800,0,0
1990-12-20,2.859569229,2.889434182,2.799839323,2.874501705,8549600,0,0
1990-12-21,2.881967702,2.911832652,2.881967702,2.896900177,14704800,0,0
1990-12-24,2.896902381,2.896902381,2.829706192,2.829706192,4334400,0,0
1990-12-26,2.829706192,2.852104922,2.822239949,2.829706192,3280800,0,0
1990-12-27,2.829704933,2.829704933,2.777441254,2.799839973,3064000,0,0
1990-12-28,2.79983958,2.79983958,2.769974625,2.784907103,2795200,0,0
1990-12-31,2.784907264,2.792373503,2.755042307,2.777441025,2903200,0,0
1991-01-02,2.769974486,2.769974486,2.702778339,2.702778339,6984000,0,0
1991-01-03,2.702778521,2.740109716,2.620649892,2.628116131,10714400,0,0
1991-01-04,2.628117506,2.710246178,2.620651263,2.695313692,11523200,0,0
1991-01-07,2.69531179,2.702778028,2.650514364,2.650514364,7932000,0,0
1991-01-08,2.650514848,2.665447326,2.613183653,2.628116131,9088000,0,0
1991-01-09,2.62811745,2.710246121,2.54598878,2.568387508,11512800,0,0
1991-01-10,2.590786674,2.628117894,2.590786674,2.613185406,5851200,0,0
1991-01-11,2.613183334,2.657980763,2.613183334,2.643048286,5981600,0,0
1991-01-14,2.643048127,2.66544684,2.590784463,2.650514364,10391200,0,0
1991-01-15,2.650514364,2.657980602,2.628115651,2.650514364,5276800,0,0
1991-01-16,2.650514439,2.687845629,2.635581964,2.680379391,5833600,0,0
1991-01-17,2.769975532,2.859570428,2.769975532,2.852104187,15309600,0,0
1991-01-18,2.852103765,2.904367447,2.829705045,2.904367447,36192000,0,0
1991-01-21,2.881968344,2.881968344,2.852103387,2.867035866,5117600,0,0
1991-01-22,2.867035866,2.889434583,2.837170909,2.867035866,5416000,0,0
1991-01-23,2.867035467,2.889434182,2.844636752,2.874501705,5496800,0,0
1991-01-24,2.881968641,2.934232321,2.881968641,2.919299841,7860800,0,0
1991-01-25,2.919300359,2.9267666,2.844637946,2.852104187,5105600,0,0
1991-01-28,2.852103873,2.881968835,2.837171392,2.844637632,3941600,0,0
1991-01-29,2.844638679,2.852104922,2.807307462,2.829706192,4832000,0,0
1991-01-30,2.82970535,2.911834002,2.814772868,2.911834002,6149600,0,0
1991-01-31,2.911834002,2.911834002,2.881969037,2.911834002,5119200,0,0
1991-02-01,2.904367813,2.904367813,2.807306678,2.822239161,9326400,0,0
1991-02-04,2.829705055,2.896901217,2.829705055,2.881968737,6572800,0,0
1991-02-05,2.881967847,2.993961416,2.852102895,2.97902894,10334400,0,0
1991-02-06,2.979031311,3.098491213,2.956632579,3.076092482,9561600,0,0
1991-02-07,3.076090781,3.083557021,2.956630945,2.956630945,11042400,0,0
1991-02-08,2.964097552,3.023827477,2.964097552,3.016361237,5133600,0,0
1991-02-11,3.023826194,3.098488569,3.023826194,3.098488569,9625600,0,0
1991-02-12,3.091023389,3.091023389,3.031293468,3.038759708,10092000,0,0
1991-02-13,3.038758669,3.105954807,3.038758669,3.098488569,5859200,0,0
1991-02-14,3.098491213,3.135822433,3.05369375,3.076092482,7536000,0,0
1991-02-15,3.076092582,3.165687511,3.076092582,3.135822535,16798400,0,0
1991-02-19,3.13582055,3.13582055,3.083556875,3.128354311,8104000,0,0
1991-02-20,3.105952811,3.105952811,3.068621648,3.091020346,6200000,0,0
1991-02-21,3.091023031,3.150752944,3.076090552,3.143286705,6026400,0,0
1991-02-22,3.143287557,3.247814934,3.098490109,3.180618763,9677600,0,0
1991-02-25,3.188085392,3.240349087,3.188085392,3.195551634,6764000,0,0
1991-02-26,3.188083971,3.188083971,3.150752777,3.173151493,4819200,0,0
1991-02-27,3.18061915,3.225416602,3.18061915,3.195551634,4764000,0,0
1991-02-28,3.195550466,3.225415423,3.105955593,3.128354311,6904800,0,0
1991-03-01,3.128353593,3.150752306,3.053691216,3.150752306,6161600,0,0
1991-03-04,3.150750207,3.15821644,3.091020346,3.091020346,5211200,0,0
1991-03-05,3.091023868,3.203017487,3.076091386,3.180618763,7505600,0,0
1991-03-06,3.180617987,3.188084226,3.113421832,3.128354311,10966400,0,0
1991-03-07,3.128355907,3.188085853,3.120889664,3.120889664,4901600,0,0
1991-03-08,3.120889664,3.165687123,3.11342342,3.120889664,6270400,0,0
1991-03-11,3.135288561,3.150289941,3.11278649,3.12028718,4197600,0.03,0
1991-03-12,3.120288987,3.127789682,3.090286209,3.097786903,6292800,0,0
1991-03-13,3.097786133,3.19529514,3.09028544,3.187794447,5283200,0,0
1991-03-14,3.195297568,3.277805252,3.195297568,3.217799664,8900800,0,0
1991-03-15,3.217799664,3.225300362,3.172795472,3.217799664,15984800,0,0
1991-03-18,3.217796437,3.262800583,3.195294364,3.24029851,5065600,0,0
1991-03-19,3.240299252,3.26280133,3.18029371,3.195295095,6990400,0,0
1991-03-20,3.23279855,3.330307555,3.23279855,3.277802706,8073600,0,0
1991-03-21,3.277801965,3.307804729,3.225297128,3.24029851,5676000,0,0
1991-03-22,3.24029851,3.247799201,3.187793673,3.24029851,6255200,0,0
1991-03-25,3.240299297,3.255300682,3.180293754,3.187794447,5024000,0,0
1991-03-26,3.187793673,3.255299892,3.172792291,3.24029851,8988000,0,0
1991-03-27,3.240298425,3.292803261,3.232797734,3.255299807,6595200,0,0
1991-03-28,3.255299807,3.300303951,3.247799116,3.255299807,3955200,0,0
1991-04-01,3.255302238,3.29280572,3.247801541,3.285305023,6373600,0,0
1991-04-02,3.292804605,3.390313625,3.292804605,3.390313625,7321600,0,0
1991-04-03,3.390311727,3.405313106,3.337806899,3.345307589,5346400,0,0
1991-04-04,3.345307671,3.375310431,3.307804222,3.330306292,5715200,0,0
1991-04-05,3.322807287,3.322807287,3.240299657,3.24780035,8764000,0,0
1991-04-08,3.247803127,3.262804528,3.195298227,3.225301027,5510400,0,0
1991-04-09,3.225298971,3.225298971,3.165293408,3.172794104,6700800,0,0
1991-04-10,3.172794104,3.187795494,3.142791323,3.172794104,7590400,0,0
1991-04-11,3.172793195,3.202795967,3.157791808,3.165292501,8280800,0,0
1991-04-12,3.165294774,3.217799664,3.13529198,3.217799664,7653600,0,0
1991-04-15,3.217797576,3.277803125,3.217797576,3.24780035,5885600,0,0
1991-04-16,3.247798703,3.337806981,3.232797324,3.330306292,7089600,0,0
1991-04-17,3.330307309,3.397813538,3.300304541,3.360310078,9420800,0,0
1991-04-18,3.330308624,3.330308624,3.292805148,3.300305843,7506400,0,0
1991-04-19,3.292803261,3.292803261,3.240298425,3.255299807,12960800,0,0
1991-04-22,3.255299807,3.262800497,3.225297043,3.255299807,6692000,0,0
1991-04-23,3.255299892,3.262800583,3.225297128,3.24029851,7520000,0,0
1991-04-24,3.240302427,3.255303828,3.210299627,3.225301027,7461600,0,0
1991-04-25,3.225297866,3.225297866,3.172793017,3.195295095,7715200,0,0
1991-04-26,3.180294514,3.180294514,3.142791041,3.180294514,5967200,0,0
1991-04-29,3.18029341,3.187794102,3.082784414,3.082784414,6931200,0,0
1991-04-30,3.105286956,3.180293888,3.105286956,3.165292501,13637600,0,0
1991-05-01,3.165291517,3.255299807,3.157790826,3.255299807,7298400,0,0
1991-05-02,3.255301429,3.315306986,3.255301429,3.262802124,8173600,0,0
1991-05-03,3.262800911,3.307805061,3.255300219,3.307805061,3240000,0,0
1991-05-06,3.307804305,3.337807065,3.277801544,3.315304995,4995200,0,0
1991-05-07,3.315307809,3.330309202,3.255302238,3.285305023,4047200,0,0
1991-05-08,3.285305023,3.29280572,3.202797363,3.285305023,3489600,0,0
1991-05-09,3.285303156,3.36781077,3.277802464,3.360310078,7231200,0,0
1991-05-10,3.360311987,3.360311987,3.277804327,3.285305023,6131200,0,0
1991-05-13,3.285304208,3.292804902,3.247800735,3.262802124,3727200,0,0
1991-05-14,3.255299454,3.255299454,3.210295314,3.232797384,4739200,0,0
1991-05-15,3.232801727,3.270305228,3.180296827,3.225301027,6129600,0,0
1991-05-16,3.232799587,3.315307234,3.232799587,3.300305843,6307200,0,0
1991-05-17,3.300304217,3.3153056,3.255300069,3.292803526,14728800,0,0
1991-05-20,3.292803678,3.315305753,3.255300219,3.307805061,6214400,0,0
1991-05-21,3.307805041,3.390312649,3.307805041,3.352809191,7788800,0,0
1991-05-22,3.352809386,3.36781077,3.337808001,3.360310078,5528800,0,0
1991-05-23,3.360311404,3.39781488,3.285304453,3.300305843,5888800,0,0
1991-05-24,3.315305732,3.382811958,3.315305732,3.352809191,3540800,0,0
1991-05-28,3.352810156,3.390313625,3.345309462,3.390313625,4583200,0,0
1991-05-29,3.390313625,3.390313625,3.352810156,3.390313625,5548800,0,0
